,LOWER(category),Contagem,,Primeiro crivo,,Segundo crivo,Final,,
FALSE,apps,7,FALSE,,FALSE,,,,
FALSE,aspnet core,2,FALSE,,FALSE,,,,
FALSE,assembly,2,FALSE,,FALSE,,,,
FALSE,assessment,2,FALSE,,FALSE,,,,
FALSE,assistant,2,FALSE,,FALSE,,,,
TRUE,audio,15,TRUE,audio,TRUE,audio,"audio,",,
FALSE,azure,2,FALSE,,FALSE,,,,
FALSE,azure sql db,2,FALSE,,FALSE,,,,
FALSE,backend,2,FALSE,,FALSE,,,,
FALSE,bilibili,3,FALSE,,FALSE,,,,
FALSE,bindings,2,FALSE,,FALSE,,,,
FALSE,bitcoin,8,FALSE,,FALSE,,,,
TRUE,blockchain,8,TRUE,blockchain,TRUE,blockchain,"blockchain,",,
FALSE,board,3,FALSE,,FALSE,,,,
TRUE,bot,6,TRUE,bot,TRUE,bot,"bot,",,
FALSE,brightness,3,FALSE,,FALSE,,,,
TRUE,budgeting,2,FALSE,budgeting,FALSE,,,,
FALSE,builder,2,FALSE,,FALSE,,,,
FALSE,business,2,FALSE,,FALSE,,,,
FALSE,c,59,FALSE,,FALSE,,,,
FALSE,cache,3,FALSE,,FALSE,,,,
TRUE,camera,3,TRUE,camera,TRUE,camera,"camera,",,
FALSE,card,2,FALSE,,FALSE,,,,
FALSE,card games,2,FALSE,,FALSE,,,,
FALSE,channel,2,FALSE,,FALSE,,,,
TRUE,chat,7,TRUE,chat,TRUE,chat,"chat,",,
FALSE,chrome,2,FALSE,,FALSE,,,,
FALSE,class library,2,FALSE,,FALSE,,,,
FALSE,classic,2,FALSE,,FALSE,,,,
TRUE,cli,5,FALSE,cli,FALSE,,,,
FALSE,client,27,FALSE,,FALSE,,,,
FALSE,clojure,2,FALSE,,FALSE,,,,
TRUE,cloud,3,FALSE,cloud,FALSE,,,,
FALSE,cloud storage,3,FALSE,,FALSE,,,,
FALSE,cms,6,FALSE,,FALSE,,,,
FALSE,code,10,FALSE,,FALSE,,,,
FALSE,codebase,3,FALSE,,FALSE,,,,
FALSE,coding,2,FALSE,,FALSE,,,,
FALSE,collaboration,5,FALSE,,FALSE,,,,
TRUE,collaborative,3,FALSE,collaborative,FALSE,,,,
FALSE,collection,2,FALSE,,FALSE,,,,
TRUE,color palette,2,TRUE,color palette,TRUE,color palette,"color palette,",,
FALSE,colors,3,FALSE,,FALSE,,,,
FALSE,common,2,FALSE,,FALSE,,,,
TRUE,communication,2,FALSE,communication,FALSE,,,,
FALSE,community,4,FALSE,,FALSE,,,,
FALSE,component,5,FALSE,,FALSE,,,,
FALSE,components,7,FALSE,,FALSE,,,,
TRUE,compression,2,TRUE,compression,TRUE,compression,"compression,",,
FALSE,computer,3,FALSE,,FALSE,,,,
FALSE,configuration,3,FALSE,,FALSE,,,,
FALSE,console,3,FALSE,,FALSE,,,,
FALSE,containers,2,FALSE,,FALSE,,,,
FALSE,content,2,FALSE,,FALSE,,,,
FALSE,content management,2,FALSE,,FALSE,,,,
FALSE,control,4,FALSE,,FALSE,,,,
FALSE,copy,2,FALSE,,FALSE,,,,
FALSE,core,3,FALSE,,FALSE,,,,
TRUE,crm,2,TRUE,crm,TRUE,crm,"crm,",,
FALSE,cross platform,5,FALSE,,FALSE,,,,
TRUE,cross-platform,25,FALSE,cross-platform,FALSE,,,,
FALSE,css,6,FALSE,,FALSE,,,,
FALSE,csv,2,FALSE,,FALSE,,,,
FALSE,custom,2,FALSE,,FALSE,,,,
FALSE,customizable,3,FALSE,,FALSE,,,,
FALSE,cybersecurity,2,FALSE,,FALSE,,,,
FALSE,d3js,3,FALSE,,FALSE,,,,
FALSE,dark theme,2,FALSE,,FALSE,,,,
FALSE,dashboard,2,FALSE,,FALSE,,,,
FALSE,data,11,FALSE,,FALSE,,,,
FALSE,data discovery,2,FALSE,,FALSE,,,,
FALSE,data extraction,2,FALSE,,FALSE,,,,
FALSE,data storage,2,FALSE,,FALSE,,,,
FALSE,data structures,2,FALSE,,FALSE,,,,
FALSE,dataverse,2,FALSE,,FALSE,,,,
FALSE,debug,3,FALSE,,FALSE,,,,
FALSE,debugging,12,FALSE,,FALSE,,,,
FALSE,decentralized,5,FALSE,,FALSE,,,,
FALSE,demo,3,FALSE,,FALSE,,,,
FALSE,demos,2,FALSE,,FALSE,,,,
FALSE,dependencies,2,FALSE,,FALSE,,,,
FALSE,deprecated,5,FALSE,,FALSE,,,,
FALSE,deserialization,2,FALSE,,FALSE,,,,
TRUE,design,9,TRUE,design,TRUE,design,"design,",,
FALSE,designers,2,FALSE,,FALSE,,,,
FALSE,desktop,63,FALSE,,FALSE,,,,
FALSE,desktop app,7,FALSE,,FALSE,,,,
FALSE,desktop application,4,FALSE,,FALSE,,,,
FALSE,desktop client,5,FALSE,,FALSE,,,,
